Source,Target,date
ID,US,2018.1.10 05:25
US,ID,2018.1.11 23:53
IT,BE,2018.9.25 14:00
BE,AR,2018.9.30 17:06
FI,EC,2018.8.6 06:57
EC,FI,2018.8.7 14:04
RU,FR,2018.12.25 10:05
US,FR,2018.11.29 14:09
FR,US,2018.12.4 21:45
GB,IN,2019.1.26 11:26
ID,HK,2015.5.13 13:58
HK,CN,2015.5.16 08:11
CN,ID,2015.5.20 12:37
ID,HK,2015.5.20 15:00
HK,MY,2015.5.21 05:16
MY,ID,2015.5.26 16:49
FR,NL,2017.7.16 20:03
US,MX,2018.8.16 19:11
MX,US,2018.8.21 00:29
US,PR,2019.9.30 22:25
JP,US,2019.4.22 09:24
US,JP,2019.4.23 06:29
BE,GB,2017.12.3 12:27
GB,BE,2017.12.7 19:56
GB,PT,2017.5.2 08:39
PT,GB,2017.5.7 07:33
AT,GB,2013.10.3 11:10
ID,MY,2019.7.5 03:50
GB,BG,2018.9.9 11:51
MY,ID,2019.2.5 11:07
ID,MY,2019.2.6 04:48
US,CA,2018.6.30 05:41
CA,US,2018.7.4 22:45
GB,US,2017.10.27 04:13
US,IE,2017.10.30 12:18
DO,AR,2018.4.9 05:01
AR,DO,2018.4.9 15:06
MX,AR,2017.3.7 21:55
AR,PY,2017.3.8 16:47
PY,CU,2017.3.13 22:30
PL,HU,2015.6.3 17:13
CH,FR,2017.1.24 13:45
FR,CH,2017.1.28 11:56
CH,UY,2017.2.1 21:57
CL,AR,2017.11.12 19:41
AR,CL,2017.11.12 22:59
AU,US,2016.6.7 10:27
US,AU,2016.6.7 11:14
AU,CA,2016.6.7 11:22
CA,AU,2016.6.7 11:30
AU,CA,2016.6.8 06:34
CA,IT,2016.5.9 13:30
IT,FR,2016.5.12 06:57
FR,US,2016.5.13 19:57
US,DE,2016.5.22 11:50
DE,US,2016.5.28 13:49
US,CA,2016.6.9 23:07
CA,US,2016.6.13 13:44
US,CA,2016.6.25 17:07
PH,QA,2017.3.31 15:34
CO,US,2016.6.15 05:55
GB,CA,2015.11.9 13:38
CA,US,2015.11.10 00:27
US,CA,2015.11.11 00:35
GB,ES,2017.2.24 17:46
DE,GB,2018.12.28 09:21
GB,IN,2018.12.29 16:17
SA,AE,2018.11.5 05:25
AE,ID,2018.11.6 05:42
ID,AE,2018.11.10 12:09
AU,US,2017.5.11 10:18
TR,GR,2018.7.10 09:35
GR,TR,2018.7.18 21:21
BR,PY,2018.12.1 01:27
PH,CN,2018.6.13 10:42
CN,PH,2018.6.15 06:27
US,IT,2018.9.13 18:15
IT,DE,2018.9.29 21:49
DE,IT,2018.9.30 17:40
IT,FR,2018.10.7 14:30
FR,IT,2018.10.9 17:22
IT,HU,2018.11.16 09:03
HU,IT,2018.11.23 18:42
IT,GB,2018.12.2 11:52
GB,IT,2018.12.4 21:12
IT,CZ,2018.12.7 22:58
CZ,IT,2018.12.13 16:15
IT,US,2018.12.18 15:33
IN,GB,2017.5.31 04:53
GB,FR,2017.6.4 06:18
FR,GB,2017.6.16 06:47
US,SV,2017.12.31 03:30
SV,GT,2018.1.6 19:32
GT,SV,2018.1.8 02:14
SV,US,2018.1.15 02:01
CO,US,2016.2.11 18:22
US,CO,2016.2.12 12:43
DE,FR,2016.9.17 19:43
IN,TH,2019.2.6 10:53
IE,GB,2017.9.23 17:14
BR,PT,2018.8.1 16:28
PT,FR,2018.8.1 16:42
FR,IT,2018.8.2 15:37
IT,BR,2018.8.3 16:42
GB,DK,2018.7.3 07:17
DK,FO,2018.7.4 18:24
FO,IS,2018.7.5 08:00
IS,DK,2018.7.14 14:43
DK,DE,2018.7.14 20:06
DE,NL,2018.7.15 11:23
NL,GB,2018.7.16 05:40
FR,CH,2018.12.7 08:38
TH,JP,2019.4.7 11:23
JP,TH,2019.4.9 00:49
TH,HK,2019.4.9 04:44
HK,TH,2019.4.14 10:24
TR,CY,2018.4.10 09:30
CY,TR,2018.4.11 05:08
NZ,AU,2015.5.29 00:27
US,JM,2016.1.8 14:38
JM,US,2016.1.15 19:30
GB,NO,2014.11.25 22:53
NO,NL,2014.12.3 14:44
NL,GB,2014.12.6 13:38
GB,ES,2017.5.10 02:02
ES,GB,2017.5.22 11:59
GB,MC,2016.2.5 23:28
MC,HK,2016.2.10 07:45
HK,JP,2016.2.10 23:47
JP,US,2016.2.15 00:46
US,GB,2016.2.29 00:27
GB,FR,2018.11.30 12:14
FR,GB,2018.12.6 10:08
PE,MY,2018.2.28 02:21
ID,US,2019.2.4 09:27
CA,FR,2017.7.15 14:34
FR,CH,2017.7.16 12:13
CH,FR,2017.7.18 07:20
MX,US,2019.7.9 20:40
MX,CR,2016.7.18 02:49
NL,AT,2017.2.28 19:58
AT,NL,2017.3.5 12:19
PE,VE,2019.3.27 18:38
VE,PE,2019.3.30 02:06
GB,PT,2019.4.26 12:46
PT,GB,2019.5.2 18:15
DE,PL,2017.11.16 16:11
CR,SV,2018.10.26 20:17
SV,CR,2018.10.29 22:54
CR,SV,2018.10.30 23:12
SV,CR,2018.10.31 15:13
US,TW,2017.1.3 06:50
TW,PH,2017.1.6 11:42
PH,US,2017.1.16 01:58
US,JP,2015.9.24 08:45
JP,US,2015.10.1 07:02
CA,US,2016.11.2 23:40
US,AG,2016.11.3 13:37
AG,MS,2016.11.17 20:27
MS,CA,2016.12.1 01:16
CA,AG,2016.12.2 04:33
US,MX,2019.1.3 00:44
MX,CU,2019.1.6 03:18
CU,MX,2019.1.9 17:18
ID,CN,2017.11.17 13:01
US,IT,2017.7.11 01:41
IT,FR,2017.7.11 03:43
FR,GB,2017.7.11 03:46
GB,BM,2017.7.15 12:47
BM,US,2017.7.15 16:35
US,BM,2017.7.17 00:21
BM,DK,2017.7.18 07:41
DK,RU,2017.7.22 18:57
RU,SE,2017.7.26 15:41
SE,DK,2017.7.28 06:44
DK,GB,2017.7.29 12:21
GB,DK,2017.7.30 21:32
DK,EE,2017.8.1 10:23
EE,DK,2017.8.2 10:53
DK,SE,2017.8.6 19:11
SE,DK,2017.8.7 14:37
DK,US,2017.8.7 14:40
US,DK,2017.8.7 14:43
DK,SE,2017.8.9 03:10
SE,EE,2017.8.9 11:43
EE,SE,2017.8.9 11:50
SE,DK,2017.8.9 13:33
DK,RU,2017.8.10 16:08
RU,EE,2017.8.10 20:19
EE,DK,2017.8.11 14:26
DK,EE,2017.8.12 17:06
EE,US,2017.8.21 16:20
US,DE,2017.8.25 01:51
DE,SE,2017.8.31 14:46
SE,FR,2017.9.8 03:19
FR,US,2017.9.10 12:11
US,FR,2017.9.11 13:41
FR,EE,2017.9.12 16:56
EE,US,2017.9.17 16:54
QA,LK,2018.1.14 06:14
US,CA,2017.12.28 21:10
CA,US,2018.1.3 02:41
ZA,GB,2016.7.20 10:16
NL,DE,2016.2.27 16:10
PA,US,2018.1.20 20:00
US,CO,2018.1.21 00:31
JP,TH,2018.3.15 13:54
TH,JP,2018.3.24 23:38
JP,KR,2018.5.21 05:34
KR,JP,2018.5.25 09:53
US,BS,2017.11.30 21:02
BR,AR,2014.7.30 01:26
AR,BR,2014.8.3 23:50
GB,HU,2018.8.12 17:52
HU,GB,2018.8.13 11:30
US,NG,2017.12.1 19:04
NG,US,2017.12.2 20:55
US,NG,2018.3.22 06:13
NG,US,2018.4.7 08:12
US,NG,2018.8.9 16:52
NG,US,2018.8.9 16:53
US,NG,2018.8.23 11:08
NG,US,2018.8.28 10:24
ES,HK,2019.10.21 23:29
HK,VN,2019.10.24 01:41
VN,AE,2019.11.6 03:00
AE,US,2019.11.7 01:30
RS,HR,2015.9.2 18:05
US,GB,2018.1.4 12:33
GB,US,2018.1.5 11:26
US,GB,2018.1.5 11:37
GB,US,2018.1.5 12:01
FR,ES,2018.1.30 00:23
ES,FR,2018.2.3 02:51
TR,IT,2017.11.2 13:05
IT,DE,2017.11.3 07:50
DE,IT,2017.11.3 16:24
IT,TR,2017.11.6 07:26
TR,ES,2017.11.6 17:30
ES,TR,2017.11.7 09:37
KW,GB,2018.8.16 15:22
TH,TW,2019.3.12 08:47
TW,CN,2019.3.18 05:28
BE,FR,2019.4.9 07:30
MX,US,2014.9.12 16:56
US,CN,2019.3.21 00:56
SE,NO,2018.5.17 12:34
NO,SE,2018.5.25 15:40
US,AW,2018.11.6 18:17
CR,PL,2018.12.6 21:00
PL,CR,2018.12.7 12:30
US,MX,2017.8.18 17:40
MX,US,2017.8.18 17:42
FR,SE,2019.1.8 23:20
SE,US,2019.1.10 13:01
US,DE,2019.1.14 14:57
DE,SE,2019.1.14 20:52
SE,DK,2019.1.18 19:38
DE,IL,2017.6.15 16:40
IL,AE,2017.6.16 10:18
AE,DE,2017.6.17 10:58
DE,CH,2017.6.19 15:19
CH,IL,2017.6.21 19:25
IL,DE,2017.6.22 18:49
GB,FR,2018.1.20 16:27
GB,ET,2018.5.8 05:03
ET,CD,2018.5.8 12:06
CD,KE,2018.5.12 18:00
KE,NL,2018.5.17 07:36
US,BM,2019.1.22 01:34
UA,CZ,2018.12.30 20:44
US,PR,2018.3.2 02:03
PH,TH,2018.10.16 11:49
TH,PH,2018.10.17 20:58
GB,IE,2018.8.23 10:55
IE,GB,2018.8.24 20:51
GB,IE,2018.8.25 08:38
IE,GB,2018.8.26 18:51
GU,US,2019.10.2 10:04
ID,SG,2016.1.17 23:44
SG,ID,2016.1.23 06:23
US,CN,2018.9.7 10:30
DE,ID,2018.1.3 12:24
IT,CZ,2019.1.5 11:27
CZ,BE,2019.1.13 12:29
GB,GR,2018.5.12 09:39
US,JP,2018.5.30 05:25
JP,US,2018.6.4 19:34
NL,DE,2015.7.30 09:29
ES,FR,2019.1.28 09:08
FR,ES,2019.1.29 08:16
ES,FR,2019.1.30 08:11
FR,ES,2019.1.31 08:09
ES,FR,2019.2.5 08:07
FR,DE,2019.2.6 08:11
DE,ES,2019.2.7 08:08
ES,FR,2019.2.11 10:36
FR,ES,2019.2.12 08:14
ES,FR,2019.2.17 10:17
FR,ES,2019.2.18 10:24
ES,IT,2019.3.1 08:11
IT,ES,2019.3.2 09:37
ES,IT,2019.3.3 09:39
IT,ES,2019.3.4 10:39
ES,IT,2019.3.5 08:19
US,JM,2018.5.27 16:55
FR,IT,2019.2.23 11:05
IT,KH,2019.2.24 12:04
KH,PL,2019.3.3 15:07
PL,KH,2019.3.4 13:58
AE,ZA,2017.11.9 11:38
BR,US,2019.3.12 04:39
KW,HK,2016.11.1 11:25
US,CA,2017.8.16 16:25
US,PE,2018.5.13 21:33
SG,PH,2019.3.3 06:14
US,MX,2018.12.3 04:23
MX,BZ,2019.1.14 10:06
JP,IT,2017.3.5 21:46
IT,VA,2017.3.9 12:49
VA,IT,2017.3.10 08:35
IT,JP,2017.3.12 03:09
CR,US,2016.9.10 08:33
US,CN,2016.9.18 23:11
PH,TW,2019.2.15 07:03
TW,PH,2019.2.23 15:30
VE,US,2018.12.1 06:00
CA,TR,2017.6.16 02:00
TR,HU,2017.6.22 13:35
HU,NL,2017.7.1 05:16
NL,IS,2017.7.3 15:58
IS,CA,2017.7.7 21:49
US,FR,2019.4.16 16:03
FR,US,2019.4.22 17:41
US,BR,2014.6.19 19:28
GB,FR,2019.2.15 19:19
PH,HK,2015.3.13 02:01
HK,PH,2015.3.13 03:38
PH,MO,2015.3.14 07:40
MO,HK,2015.3.15 08:21
HK,JP,2015.3.15 23:19
JP,PH,2015.3.17 13:18
PH,HK,2015.10.15 13:41
HK,PH,2015.10.17 11:39
PH,HK,2016.5.3 06:01
HK,PH,2016.5.11 22:55
PH,GB,2016.11.29 02:09
GB,PH,2016.11.30 11:53
PH,AU,2018.3.22 05:11
AU,PH,2018.4.22 09:09
PH,AU,2018.4.30 12:58
AU,PH,2018.6.30 05:38
PH,AU,2018.7.23 18:57
AU,PH,2018.7.29 08:45
PH,AU,2018.11.15 19:09
AU,PH,2018.11.15 19:48
PH,AU,2018.11.20 05:38
AU,PH,2018.11.23 14:20
PH,AU,2019.2.1 08:39
AU,PH,2019.2.22 07:41
PH,AU,2019.2.24 04:50
AU,CA,2019.2.24 09:00
CA,AU,2019.2.26 08:45
AU,PH,2019.3.11 09:16
PH,AU,2019.3.17 13:54
AU,PH,2019.3.18 12:50
RU,TR,2015.3.31 08:09
TR,RU,2015.5.3 12:13
PH,US,2018.6.24 07:35
US,PH,2018.6.25 03:59
GB,ES,2019.9.12 19:18
GB,IE,2018.8.1 15:32
IE,US,2018.8.9 14:40
US,GB,2018.8.14 10:12
US,FR,2018.3.8 10:50
FR,US,2018.3.9 10:14
IT,FR,2018.8.28 14:52
FR,IT,2018.8.29 05:46
US,CR,2018.4.10 16:41
BR,GB,2017.7.24 13:06
GB,BR,2017.7.28 13:18
CA,US,2016.12.16 23:36
GR,GB,2019.6.28 10:15
GB,NL,2019.6.29 09:02
NL,RO,2019.7.2 10:03
RO,MC,2019.7.5 08:07
MC,FR,2019.7.5 15:02
FR,MC,2019.7.6 07:16
MC,FR,2019.7.6 10:12
BR,MX,2018.4.30 16:08
MX,BR,2018.5.1 01:32
US,IT,2018.7.8 18:15
IT,US,2018.7.8 21:18
TR,NL,2017.5.19 11:24
NL,TR,2017.5.23 07:52
ES,US,2016.10.5 16:50
FI,AE,2019.2.15 12:51
US,GB,2015.7.13 12:12
ES,FR,2017.3.16 22:41
GB,IN,2018.5.8 15:54
IN,AE,2018.5.22 12:17
ES,GB,2017.3.17 11:28
GB,ES,2017.3.20 08:28
US,GB,2015.9.21 08:52
PA,AR,2018.12.20 22:37
AR,US,2018.12.21 20:55
US,EG,2019.1.11 21:12
EG,US,2019.1.12 13:37
ZA,AU,2018.8.21 13:29
AU,PH,2018.12.20 02:51
US,AU,2019.2.15 00:05
GB,US,2019.1.12 19:24
CA,US,2018.2.7 22:33
US,CA,2018.2.9 03:01
US,MX,2018.12.26 22:14
JP,KR,2019.5.27 17:17
PH,HK,2014.9.9 05:05
US,AR,2015.8.20 17:23
US,CA,2019.4.24 10:11
CA,US,2019.4.26 16:18
PH,TW,2019.4.21 03:42
ID,TH,2018.6.25 16:35
TH,NO,2018.6.27 11:17
US,CA,2019.3.27 14:14
AT,RO,2019.4.9 14:45
RO,AT,2019.4.13 11:57
UZ,TR,2016.6.28 07:24
US,IT,2017.4.28 20:22
GB,US,2016.12.30 23:00
US,GB,2017.1.11 13:20
GB,IT,2018.10.7 20:42
CH,IT,2017.6.1 19:35
IT,CH,2017.6.18 17:14
TR,US,2016.11.7 18:54
US,TR,2017.4.3 14:51
TR,US,2017.4.20 15:43
US,TR,2017.4.29 16:26
US,MX,2017.4.14 23:37
MX,US,2017.4.17 04:32
DE,CH,2018.4.8 12:39
CH,IT,2018.4.11 08:46
IT,CH,2018.4.11 15:01
GB,US,2019.7.28 08:26
US,GB,2019.7.29 09:59
MX,US,2018.6.30 17:08
CY,TR,2019.4.30 21:51
GB,CZ,2019.5.15 11:28
US,MX,2019.3.16 02:40
MX,JM,2019.3.23 19:37
JM,US,2019.4.4 16:22
US,PE,2019.4.8 03:02
US,ID,2017.9.14 01:54
ID,US,2017.9.15 07:31
US,CA,2017.9.17 09:27
CA,US,2017.9.22 18:30
US,CA,2017.9.27 02:06
CA,US,2017.10.6 03:55
AU,US,2015.7.3 13:53
US,AU,2015.7.23 00:56
ZA,ZW,2018.2.11 06:25
ZW,BW,2018.2.11 17:39
MX,CA,2019.2.23 01:26
CA,MX,2019.3.1 11:06
US,IN,2016.2.11 23:47
IN,US,2016.2.12 19:41
JP,MX,2018.8.13 21:17
MX,JP,2018.8.22 05:59
GB,CZ,2017.12.2 14:17
CZ,GB,2017.12.9 20:06
US,CA,2019.2.11 00:45
CA,US,2019.2.16 13:28
GB,ES,2019.2.17 16:08
US,MX,2017.6.19 03:34
MX,US,2017.6.21 12:36
US,PL,2016.5.23 14:09
PL,US,2016.6.1 00:44
GB,JP,2018.9.27 22:42
US,ES,2018.4.27 11:18
ES,NL,2018.5.2 09:11
NL,ES,2018.5.6 06:48
ES,US,2018.5.19 10:59
US,BS,2018.12.20 04:45
VE,CO,2018.9.24 23:30
CO,VE,2018.9.25 16:08
TH,JP,2019.9.11 09:18
CN,ET,2018.2.12 14:01
ET,EG,2018.2.14 06:58
EG,ET,2018.2.15 16:51
ET,EG,2018.2.16 04:47
EG,ET,2018.2.19 09:41
MY,PH,2016.5.30 13:14
PH,CN,2016.6.1 13:41
CN,IN,2016.6.2 15:34
IN,AU,2016.6.4 15:49
ID,SG,2019.2.9 17:38
SG,ID,2019.2.10 15:54
ID,ME,2019.2.12 07:10
ME,HR,2019.2.13 06:13
HR,AL,2019.2.13 10:36
AL,ID,2019.2.14 14:17
ID,CN,2019.2.18 09:37
CN,IR,2019.2.18 09:40
IR,ID,2019.2.19 07:07
ID,AE,2019.4.4 18:08
KW,IE,2019.2.7 13:37
JP,CU,2017.7.24 05:51
CU,JP,2017.7.24 13:41
US,CA,2016.7.6 20:26
CA,US,2016.7.12 17:33
BR,US,2014.10.24 12:04
US,MX,2014.10.26 02:58
US,TC,2018.3.12 03:55
TC,US,2018.3.17 03:59
US,AU,2017.7.3 04:25
AU,US,2017.7.16 20:12
US,IE,2018.7.30 00:18
IE,US,2018.8.5 17:57
IT,TH,2018.3.27 06:51
CA,GB,2013.6.30 10:42
US,FR,2018.11.22 10:48
HK,KR,2018.10.12 15:50
KR,HK,2018.10.24 14:57
GB,NO,2018.4.25 10:30
NO,US,2018.4.25 18:28
US,GB,2018.4.25 21:53
PH,US,2017.12.2 19:01
SA,BH,2019.5.4 16:43
BH,SA,2019.5.5 01:01
US,MX,2018.4.20 00:46
GH,IN,2018.12.9 22:49
PH,MO,2017.12.30 09:56
MO,HK,2017.12.31 17:01
BR,ES,2016.10.1 00:00
ES,FR,2016.10.4 22:11
FR,DE,2016.10.7 20:41
DE,IT,2016.10.16 16:21
IT,BR,2016.11.7 19:27
BR,MX,2016.11.11 13:53
KW,MY,2019.1.16 08:12
MY,KW,2019.1.25 03:32
GB,CU,2016.5.17 15:14
CA,PH,2017.8.17 05:40
PH,CA,2017.8.18 15:15
CA,US,2017.8.22 01:44
US,CA,2017.8.23 15:42
NL,BE,2018.10.19 07:09
BE,US,2018.10.22 20:59
US,BE,2018.10.23 13:10
BE,FR,2018.10.24 09:18
FR,BE,2018.10.24 11:38
BE,FR,2018.10.24 13:55
FR,US,2018.10.24 17:21
US,NL,2018.10.26 17:34
SG,MY,2019.3.23 12:37
MY,SG,2019.3.24 21:25
RU,FI,2019.10.12 17:29
FI,LV,2019.10.13 13:57
LV,FI,2019.10.13 14:09
MY,TH,2018.8.12 01:36
TH,MY,2018.8.20 07:07
MY,ID,2017.12.5 07:16
ID,MY,2017.12.9 16:02
MX,US,2017.2.18 05:11
JP,KR,2019.1.5 10:09
KR,JP,2019.1.6 11:19
ES,US,2018.6.20 12:42
US,ES,2018.6.27 18:10
ES,DE,2018.10.4 20:28
NL,ES,2017.10.21 17:34
ES,BR,2017.1.25 21:35
BR,ES,2017.1.26 17:07
DE,NL,2019.2.3 20:20
NL,DE,2019.2.4 15:07
DE,NL,2019.2.4 16:52
NL,DE,2019.2.8 12:35
IE,ES,2016.9.15 07:27
ES,IE,2016.9.16 07:05
FR,US,2018.9.16 20:18
US,CU,2018.9.22 13:46
IT,FR,2015.6.19 20:15
FR,US,2015.6.21 05:18
US,FR,2015.6.29 04:57
TH,JO,2015.12.9 03:49
JO,SY,2015.12.10 07:14
SY,LB,2015.12.10 07:21
LB,TH,2015.12.15 07:07
ES,FR,2016.7.2 21:10
FR,ES,2016.7.9 20:28
ES,AD,2016.7.11 13:41
AD,FR,2016.7.14 22:58
FR,CH,2016.7.19 18:06
CH,FR,2016.7.22 07:11
US,BR,2018.5.15 17:12
BR,US,2018.5.24 16:36
MY,MV,2018.3.13 19:38
US,BR,2019.1.15 17:58
ID,RU,2019.4.2 20:41
US,ES,2017.8.18 04:47
ES,US,2017.8.18 20:01
US,MX,2017.8.19 15:47
MX,US,2017.8.19 21:27
MX,US,2018.7.2 00:54
DE,DK,2016.12.30 12:54
DK,DE,2017.1.1 09:20
US,PH,2019.1.27 16:52
MX,US,2017.8.16 02:19
US,MX,2017.8.27 01:58
KE,US,2019.1.14 16:00
GB,US,2018.11.12 16:55
AR,PE,2017.10.14 21:03
PE,US,2017.10.16 23:06
US,CO,2017.10.21 22:58
MX,CU,2019.3.20 02:18
CU,MX,2019.3.21 12:52
ID,KR,2017.1.1 00:55
KR,ID,2017.1.2 09:09
ID,GB,2017.1.4 11:44
GB,ID,2017.1.10 14:12
ID,KR,2017.1.14 12:14
KR,CA,2017.1.22 04:31
CA,ID,2017.1.22 13:21
PH,ID,2018.8.29 17:01
GB,LV,2015.10.27 10:27
LV,GB,2015.11.1 22:09
TH,DE,2016.7.13 14:22
DE,ES,2016.7.19 14:38
ES,IT,2016.7.25 00:15
IT,DE,2016.7.28 14:13
DE,TH,2016.7.31 11:55
JP,DE,2018.5.7 09:27
ES,MX,2019.1.30 21:43
MX,US,2019.2.3 15:46
US,MX,2019.2.10 18:28
MX,US,2019.2.14 13:38
US,MX,2019.2.14 17:16
US,BS,2018.12.30 16:40
BR,US,2017.12.25 22:11
US,CD,2017.12.26 17:09
CD,BR,2017.12.27 13:39
BR,CD,2018.1.4 14:10
CD,BR,2018.1.4 15:51
BR,CD,2018.1.5 14:38
CD,BR,2018.1.7 00:05
BR,CD,2018.1.9 00:16
CD,BR,2018.1.10 11:47
BR,CD,2018.1.10 12:26
CD,BR,2018.1.11 19:01
BR,CD,2018.1.12 11:42
AE,IN,2016.12.19 04:44
KW,TR,2019.8.13 16:35
TR,KW,2019.8.23 16:12
DO,AR,2017.9.7 23:51
GB,PT,2016.9.21 11:58
PT,GB,2016.10.5 13:08
GB,GY,2016.11.17 18:26
GY,GB,2016.11.25 07:58
NL,ES,2018.11.13 17:24
ES,NL,2018.11.17 12:58
GB,FR,2015.6.16 16:27
SA,BH,2019.2.26 16:47
BH,SA,2019.2.27 00:41
GB,ES,2017.11.7 17:01
GB,NZ,2019.1.8 21:09
NZ,GB,2019.1.9 11:22
JP,DE,2018.10.17 19:29
DE,BR,2018.10.19 00:56
SK,PL,2016.6.17 21:30
US,GB,2018.10.2 18:40
GB,US,2018.10.3 19:11
GB,ES,2018.5.25 14:32
ES,FR,2018.5.31 14:59
DE,IT,2017.9.16 21:37
IT,DE,2017.10.3 08:48
BR,PT,2018.12.8 16:17
PT,ES,2018.12.9 12:26
ES,BR,2018.12.10 09:55
BR,ES,2018.12.10 15:11
ES,PT,2018.12.16 12:45
PT,BR,2018.12.18 11:54
BR,US,2018.12.20 20:05
US,BR,2018.12.20 20:25
BR,ES,2018.12.23 00:10
ES,PT,2018.12.23 00:12
PT,ES,2018.12.23 16:33
ES,BR,2018.12.23 18:49
BW,ZA,2018.7.15 14:34
